variable,label,endowment,coefficient,interaction,endow_pct
Intercept,Intercept,0.0,127.65187474848152,0.0,0.0
female,Female,-0.1546516168039758,0.09031592453212674,-0.023717939208906583,-10.43885789063209
black,Black,-0.05034662030859634,-0.3161678250504937,0.16262041047505243,-3.3983557723887787
hispanic,Hispanic,-0.0015432220613409257,0.0013677115121522884,5.443377926151052e-05,-0.10416622939316142
birth_year,Birth year,-0.13496854591375443,-128.10711746372786,-0.20071995318776586,-9.110266673026558
birth_order,Birth order,0.04804067775339462,0.15944689813746935,-0.012552557327946691,3.242706532276257
mother_age,Mother's age at birth,0.2246337496726111,0.49573090120507246,0.06766003431922282,15.16259473216142
mother_educ,Mother's education (grades),0.2659115721593082,0.9142883732638488,0.09149914366689589,17.94881405452088
father_in_hh,Father in household (ever),0.049275361010768993,0.19691506350891025,0.06365013807761365,3.3260466442649372
