Variable,Non-SNAP mean,Non-SNAP SD,SNAP mean,SNAP SD,Difference,p-value,Sig,N (Non-SNAP),N (SNAP)
Highest grade completed,5.90,(2.53),4.43,(2.23),-1.47,0.000,***,5529,2754
Mother's education (grades),13.44,(2.58),12.22,(2.30),-1.22,0.000,***,5529,2754
Mother's age at birth,26.21,(5.61),23.02,(4.93),-3.19,0.000,***,5529,2754
Birth order,1.93,(1.08),2.08,(1.24),+0.15,0.000,***,5529,2754
Birth year,1987.2,(6.0),1984.0,(5.2),-3.2,0.000,***,5529,2754
Female (%),43.9,(49.6),59.7,(49.1),+15.8,0.000,***,5529,2754
Black (%),24.6,(43.0),49.7,(50.0),+25.2,0.000,***,5529,2754
Hispanic (%),22.2,(41.6),21.6,(41.2),-0.6,0.518,,5529,2754
Father in household (%),79.7,(40.2),60.2,(48.9),-19.5,0.000,***,5444,2674
Avg PPVT verbal score,80.4,(23.8),73.8,(23.4),-6.6,0.000,***,5269,2685
Avg math score,40.0,(10.3),35.7,(9.7),-4.2,0.000,***,5249,2675
